api,endpoint,nl_input,definition_of_api,paraphrase_type,embedding_model
update-profile,https://example.com/api/profile,grant access after verifying user X and password Y,Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
update-profile,https://example.com/api/profile,connect to the system with user name and Y,Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
update-profile,https://example.com/api/profile,start a session using username X and password Y,Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
update-profile,https://example.com/api/profile,user name password Y enter,Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
update-profile,https://example.com/api/profile,grant access after verifying usrname and pasword,Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
update-profile,https://example.com/api/profile,"with username X, sign-in",Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
update-profile,https://example.com/api/profile,connect with account info usrname and Y,Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
update-profile,https://example.com/api/profile,use usr and pass to logn,Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
update-profile,https://example.com/api/profile,authenticate via pasword and user,Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
update-profile,https://example.com/api/profile,start session using user name and pass Y,Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,usrname password Y signin,Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,kindly log in using usrname and pass Y,Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,"with username X, grant access",Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,use user and pasword Y to connect,Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,use my creds to access account,Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,signin to the system with username X and password,Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,access account to the system with X and password,Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,use my login details to sign-in,Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,signin with account details username and Y,Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,username X pass signin,Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,grant access after verifying user X and password Y,Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,connect to the system with user name and Y,Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,start a session using username X and password Y,Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,user name password Y enter,Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,grant access after verifying usrname and pasword,Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,"with username X, sign-in",Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,connect with account info usrname and Y,Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,use usr and pass to logn,Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,authenticate via pasword and user,Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
delete-account,https://example.com/api/account,start session using user name and pass Y,Permanently deletes the user account after password confirmation.,delete-account_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
